Id;game_result;winner_score;loser_score;eval_time;heuristic_p1;heuristic_p2;minimax_depth_p1;minimax_depth_p2
0;1;46;18;8,23;1;1;3;3
1;1;51;13;5,53;1;2;3;3
2;2;48;16;23,79;1;3;3;3
3;2;36;28;8,92;1;4;3;3
4;2;36;28;5,21;1;5;3;3
5;1;44;20;4,30;2;1;3;3
6;1;39;25;8,51;2;2;3;3
7;2;48;16;32,63;2;3;3;3
8;1;47;17;20,01;2;4;3;3
9;1;33;31;8,37;2;5;3;3
10;1;52;12;32,16;3;1;3;3
11;1;40;24;28,57;3;2;3;3
12;1;55;9;28,40;3;3;3;3
13;2;36;28;40,18;3;4;3;3
14;1;46;18;51,49;3;5;3;3
15;1;43;21;8,85;4;1;3;3
16;1;45;19;17,08;4;2;3;3
17;2;49;15;19,21;4;3;3;3
18;2;38;26;18,10;4;4;3;3
19;1;38;26;17,43;4;5;3;3
20;2;52;12;6,44;5;1;3;3
21;2;35;29;9,02;5;2;3;3
22;1;35;29;28,48;5;3;3;3
23;2;36;28;8,19;5;4;3;3
24;1;33;31;12,73;5;5;3;3
25;1;40;24;3,29;1;1;3;1
26;1;46;18;4,83;1;2;3;1
27;2;40;24;4,31;1;3;3;1
28;1;34;30;4,43;1;4;3;1
29;1;47;17;3,13;1;5;3;1
30;Tie;0;32;4,45;2;1;3;1
31;2;43;21;4,06;2;2;3;1
32;1;33;31;4,45;2;3;3;1
33;1;43;21;5,52;2;4;3;1
34;1;39;25;3,21;2;5;3;1
35;1;58;6;20,58;3;1;3;1
36;1;48;16;30,54;3;2;3;1
37;1;44;20;22,82;3;3;3;1
38;1;47;17;39,38;3;4;3;1
39;1;59;2;41,57;3;5;3;1
40;1;48;16;6,22;4;1;3;1
41;1;38;26;6,08;4;2;3;1
42;1;42;21;5,29;4;3;3;1
43;1;41;23;10,06;4;4;3;1
44;1;36;28;7,39;4;5;3;1
45;2;43;21;4,90;5;1;3;1
46;1;33;31;5,07;5;2;3;1
47;2;39;25;7,97;5;3;3;1
48;1;35;29;5,56;5;4;3;1
49;1;34;30;6,42;5;5;3;1
50;2;33;31;4,60;1;1;1;3
51;1;37;27;4,34;1;2;1;3
52;2;48;16;42,01;1;3;1;3
53;1;33;31;9,81;1;4;1;3
54;2;54;10;5,00;1;5;1;3
55;1;36;28;1,05;2;1;1;3
56;2;56;8;3,46;2;2;1;3
57;2;44;20;44,42;2;3;1;3
58;2;36;28;10,78;2;4;1;3
59;2;36;28;8,38;2;5;1;3
60;2;33;31;2,06;3;1;1;3
61;2;49;15;3,03;3;2;1;3
62;2;38;26;33,15;3;3;1;3
63;2;41;23;5,28;3;4;1;3
64;1;42;22;8,37;3;5;1;3
65;2;41;23;2,92;4;1;1;3
66;1;46;18;3,42;4;2;1;3
67;2;44;20;16,01;4;3;1;3
68;1;40;24;9,10;4;4;1;3
69;1;42;22;5,99;4;5;1;3
70;2;60;2;4,21;5;1;1;3
71;2;46;18;6,14;5;2;1;3
72;2;40;24;19,03;5;3;1;3
73;2;44;20;11,05;5;4;1;3
74;2;35;29;10,17;5;5;1;3